id	original_sentence	auxiliary_sentence	label_id	label
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	price	4	none
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	anecdotes	4	none
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	food	0	positive
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	ambience	4	none
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	service	4	none
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	price	4	none
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	anecdotes	0	positive
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	food	4	none
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	ambience	0	positive
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	service	4	none
1002	The view is spectacular, and the food is great.	price	4	none
1002	The view is spectacular, and the food is great.	anecdotes	4	none
1002	The view is spectacular, and the food is great.	food	0	positive
1002	The view is spectacular, and the food is great.	ambience	0	positive
1002	The view is spectacular, and the food is great.	service	4	none
1003	Wonderful strawberry daiquiries as well!	price	4	none
1003	Wonderful strawberry daiquiries as well!	anecdotes	4	none
1003	Wonderful strawberry daiquiries as well!	food	0	positive
1003	Wonderful strawberry daiquiries as well!	ambience	4	none
1003	Wonderful strawberry daiquiries as well!	service	4	none
1004	Definitely worth the trip to Battery Park City!	price	4	none
1004	Definitely worth the trip to Battery Park City!	anecdotes	0	positive
1004	Definitely worth the trip to Battery Park City!	food	4	none
1004	Definitely worth the trip to Battery Park City!	ambience	4	none
1004	Definitely worth the trip to Battery Park City!	service	4	none
1005	One of my favorite places in Manhattan.	price	4	none
1005	One of my favorite places in Manhattan.	anecdotes	0	positive
1005	One of my favorite places in Manhattan.	food	4	none
1005	One of my favorite places in Manhattan.	ambience	4	none
1005	One of my favorite places in Manhattan.	service	4	none
1006	I've been to several places for Dim Sum and this has got to be the WORST.	price	4	none
1006	I've been to several places for Dim Sum and this has got to be the WORST.	anecdotes	2	negative
1006	I've been to several places for Dim Sum and this has got to be the WORST.	food	2	negative
1006	I've been to several places for Dim Sum and this has got to be the WORST.	ambience	4	none
1006	I've been to several places for Dim Sum and this has got to be the WORST.	service	4	none
1007	They don't walk around with the trays of Dim Sum.	price	4	none
1007	They don't walk around with the trays of Dim Sum.	anecdotes	4	none
1007	They don't walk around with the trays of Dim Sum.	food	4	none
1007	They don't walk around with the trays of Dim Sum.	ambience	0	positive
1007	They don't walk around with the trays of Dim Sum.	service	4	none
1008	You order from a menu, so you leave feeling like you missed the full experience.	price	4	none
1008	You order from a menu, so you leave feeling like you missed the full experience.	anecdotes	2	negative
1008	You order from a menu, so you leave feeling like you missed the full experience.	food	4	none
1008	You order from a menu, so you leave feeling like you missed the full experience.	ambience	4	none
1008	You order from a menu, so you leave feeling like you missed the full experience.	service	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	price	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	anecdotes	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	food	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	ambience	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	service	2	negative
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	price	4	none
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	anecdotes	4	none
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	food	4	none
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	ambience	0	positive
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	service	4	none
1010	And the bill was outragous.	price	2	negative
1010	And the bill was outragous.	anecdotes	4	none
1010	And the bill was outragous.	food	4	none
1010	And the bill was outragous.	ambience	4	none
1010	And the bill was outragous.	service	4	none
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	price	4	none
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	anecdotes	2	negative
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	food	0	positive
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	ambience	4	none
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	service	4	none
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	price	4	none
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	anecdotes	4	none
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	food	0	positive
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	ambience	4	none
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	service	4	none
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	price	4	none
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	anecdotes	4	none
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	food	0	positive
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	ambience	4	none
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	service	4	none
1014	The atmosphere is great!!!	price	4	none
1014	The atmosphere is great!!!	anecdotes	4	none
1014	The atmosphere is great!!!	food	4	none
1014	The atmosphere is great!!!	ambience	0	positive
1014	The atmosphere is great!!!	service	4	none
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	price	4	none
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	anecdotes	4	none
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	food	0	positive
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	ambience	0	positive
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	service	4	none
1017	sometimes i get good food and ok service.	price	4	none
1017	sometimes i get good food and ok service.	anecdotes	4	none
1017	sometimes i get good food and ok service.	food	0	positive
1017	sometimes i get good food and ok service.	ambience	4	none
1017	sometimes i get good food and ok service.	service	1	neutral
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	price	4	none
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	anecdotes	4	none
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	food	3	conflict
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	ambience	4	none
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	service	2	negative
1019	it is not consistent.	price	4	none
1019	it is not consistent.	anecdotes	2	negative
1019	it is not consistent.	food	4	none
1019	it is not consistent.	ambience	4	none
1019	it is not consistent.	service	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	price	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	anecdotes	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	food	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	ambience	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	service	0	positive
1020	really depends on your luck!	price	4	none
1020	really depends on your luck!	anecdotes	1	neutral
1020	really depends on your luck!	food	4	none
1020	really depends on your luck!	ambience	4	none
1020	really depends on your luck!	service	4	none
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	price	4	none
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	anecdotes	1	neutral
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	food	4	none
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	ambience	4	none
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	service	4	none
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	price	4	none
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	anecdotes	4	none
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	food	0	positive
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	ambience	4	none
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	service	0	positive
1023	They've the best desserts and mixed drinks as well as snack foods.	price	4	none
1023	They've the best desserts and mixed drinks as well as snack foods.	anecdotes	4	none
1023	They've the best desserts and mixed drinks as well as snack foods.	food	0	positive
1023	They've the best desserts and mixed drinks as well as snack foods.	ambience	4	none
1023	They've the best desserts and mixed drinks as well as snack foods.	service	4	none
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	price	4	none
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	anecdotes	4	none
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	food	0	positive
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	ambience	0	positive
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	service	4	none
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	price	4	none
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	anecdotes	4	none
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	food	1	neutral
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	ambience	4	none
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	service	4	none
1028	What generous portions!	price	4	none
1028	What generous portions!	anecdotes	4	none
1028	What generous portions!	food	0	positive
1028	What generous portions!	ambience	4	none
1028	What generous portions!	service	4	none
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	price	4	none
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	anecdotes	4	none
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	food	0	positive
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	ambience	4	none
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	service	4	none
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	price	4	none
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	anecdotes	0	positive
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	food	4	none
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	ambience	4	none
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	service	4	none
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	price	4	none
