predicted_label,no,yes
0,0.9999586,4.1338488e-05
0,0.9999757,2.441936e-05
0,0.99996907,3.1188516e-05
0,0.99997705,2.3094728e-05
1,0.00017109835,0.9998288
0,0.9999509,4.9205075e-05
0,0.99996614,3.368384e-05
0,0.9999643,3.5823345e-05
0,0.9999723,2.7951526e-05
1,0.00017301351,0.9998269
1,0.00020072999,0.99979925
0,0.9999686,3.1441257e-05
0,0.9999356,6.429964e-05
0,0.99996907,3.1091997e-05
0,0.99983406,0.0001660768
1,0.00028355265,0.9997166
0,0.99993706,6.289538e-05
0,0.9999543,4.600734e-05
0,0.99996704,3.2995875e-05
0,0.99989796,0.0001018584
1,0.00027858026,0.99972135
0,0.99996996,3.013899e-05
0,0.99991274,8.713889e-05
0,0.9999675,3.2517084e-05
0,0.999919,8.103546e-05
0,0.9999666,3.337094e-05
0,0.9999786,2.1714139e-05
0,0.9999718,2.8422748e-05
0,0.99997663,2.3186114e-05
1,0.00015281048,0.9998474
1,0.00036494812,0.99963504
0,0.9999418,5.8069003e-05
0,0.9999161,8.3866216e-05
0,0.9997835,0.00021643135
0,0.99991995,8.02458e-05
0,0.99994993,5.0060466e-05
0,0.9999747,2.536975e-05
0,0.9999614,3.8844544e-05
0,0.99996996,2.9982033e-05
1,0.00016874974,0.99983126
0,0.99996275,3.7126643e-05
0,0.99997663,2.3449002e-05
0,0.9999714,2.8609467e-05
0,0.9999747,2.5253665e-05
1,0.00015867424,0.9998413
0,0.99991274,8.716956e-05
0,0.9999709,2.9081346e-05
0,0.99995995,3.9985327e-05
0,0.99996996,3.0236066e-05
1,0.0001701805,0.9998297
0,0.9999304,6.97044e-05
0,0.99997336,2.683574e-05
0,0.9999652,3.4809134e-05
0,0.99997663,2.3339944e-05
1,0.00019463064,0.9998054
0,0.99994904,5.08751e-05
0,0.99996614,3.3736047e-05
0,0.99995995,4.017235e-05
0,0.99997276,2.721019e-05
1,0.00018628512,0.99981356
1,0.00023794555,0.9997621
0,0.9999695,3.0732608e-05
0,0.999929,7.1085844e-05
0,0.99996907,3.0844538e-05
0,0.99980783,0.00019236645
1,0.00025507048,0.9997449
0,0.9999604,3.9633356e-05
0,0.99995184,4.806249e-05
0,0.9999686,3.1759373e-05
0,0.99989563,0.00010424516
1,0.00024416298,0.99975586
0,0.999929,7.132106e-05
0,0.99985975,0.00014025539
0,0.9999586,4.154154e-05
0,0.9999323,6.7653054e-05
0,0.99995905,4.1013856e-05
0,0.99997383,2.6483438e-05
0,0.99996185,3.8204664e-05
0,0.9999652,3.496084e-05
1,0.00022569801,0.99977446
1,0.0004863955,0.99951357
0,0.99981016,0.0001898863
0,0.9993417,0.0006581558
0,0.99942464,0.0005752852
0,0.9999261,7.397202e-05
0,0.999929,7.114994e-05
0,0.99996907,3.1270774e-05
0,0.99993706,6.321336e-05
0,0.9999495,5.0491217e-05
1,0.00019948726,0.9998006
0,0.9999075,9.2704046e-05
0,0.99997336,2.6744685e-05
0,0.99995995,4.031889e-05
0,0.99996275,3.7111884e-05
1,0.0003061865,0.99969393
0,0.9998941,0.00010571112
0,0.9999666,3.3669512e-05
0,0.99994993,4.9953072e-05
0,0.9999643,3.5821806e-05
1,0.00020084548,0.99979925
0,0.9999666,3.3227116e-05
0,0.99997663,2.3624643e-05
0,0.99996334,3.690791e-05
0,0.9999747,2.548953e-05
1,0.0001725477,0.9998274
0,0.9998565,0.00014357406
0,0.99487007,0.005129901
0,0.99938726,0.000612739
0,0.9998522,0.00014785596
1,0.0024725404,0.99752736
0,0.99977213,0.00022816907
0,0.9996439,0.00035627963
0,0.99724716,0.0027526563
0,0.9997917,0.00020817571
1,0.0010062674,0.99899375
0,0.99996567,3.455716e-05
0,0.99997425,2.6000642e-05
0,0.999957,4.2938966e-05
0,0.99996334,3.6814927e-05
1,0.00018697427,0.9998131
0,0.99969625,0.0003036273
0,0.9997906,0.00020947678
1,0.00095357397,0.9990463
0,0.9993508,0.0006492708
0,0.9998665,0.00013354412
0,0.99881285,0.0011869841
0,0.9998736,0.00012622053
1,0.0061993483,0.9938006
0,0.99986696,0.00013324706
0,0.9974151,0.0025850593
0,0.9999552,4.499939e-05
0,0.9999675,3.2363816e-05
0,0.9999284,7.166797e-05
0,0.99996567,3.4540488e-05
1,0.00021352156,0.99978644
0,0.9988376,0.0011623839
0,0.9975144,0.0024856147
1,0.0015665985,0.9984334
0,0.9986788,0.001321192
0,0.999544,0.00045593074
0,0.99973875,0.00026109887
0,0.99976104,0.00023889258
1,0.005341011,0.99465895
0,0.999784,0.00021606487
0,0.99439055,0.0056093517
0,0.99982125,0.00017899035
0,0.99995273,4.731546e-05
1,0.00024284906,0.99975735
0,0.9998736,0.000126215
0,0.9999461,5.3799828e-05
0,0.9999623,3.7590227e-05
0,0.99997425,2.5985348e-05
